deck_id,deck_title,category,question_id,question_number,question,correct_answer,answer_source,primary_lecture_id,primary_test,primary_official_number,primary_title,alternate_lecture_id,alternate_test,alternate_official_number,alternate_title,confidence,rationale
mock-final,Final 2,Mock Exams,17,17,Postmenopausal women with vaginal atrophy and cysto-rectocele may benefit from which form of treatment?,B,unknown,32,2,15,Pelvic organ prolapse,19,2,2,Menopause,high,The prolapse lecture recommends vaginal estrogen for menopausal atrophy and a ring pessary as first-line conservative support.
mock-final,Final 2,Mock Exams,18,18,"Regarding FHR auscultation,which of the following statements is incorrect?",D,unknown,24,2,7,Management of normal labour,,,,,medium,The normal-labour lecture covers intrapartum intermittent FHR auscultation and fetal surveillance; the item tests IA technique.
mock-final,Final 2,Mock Exams,19,19,"Regarding sickle cell disease in pregnancy, which of the following statements is incorrect?",D,unknown,14,1,14,Medical Diseases & Pregnancy 1,,,,,high,"Medical Diseases & Pregnancy 1 contains the SCD-in-pregnancy section, including crises, maternal risk, and thromboprophylaxis."
mock-final,Final 2,Mock Exams,20,20,The ABO blood group system is controlled by a gene located on which chromosome?,A,unknown,20,2,3,RH isoimmunization,,,,,high,The Rh-isoimmunization lecture explicitly states ABO genes are on chromosome 9 and Rhesus genes on chromosome 1.
mock-final,Final 2,Mock Exams,21,21,The quadruple screening test is typically performed during which gestational age?,D,unknown,5,1,5,Prenatal screening and diagnosis,,,,,high,"The prenatal-screening lecture places the quadruple test in the second trimester, 14+2–20 weeks."
mock-final,Final 2,Mock Exams,22,22,What is the best definition of vulvodynia?,C,unknown,46,3,13,Atrophic & dystrophic conditions of the vulva,,,,,medium,"The vulval-conditions lecture is the corpus's dedicated benign noninfectious vulval symptom/dermatosis topic, making it the closest source."
mock-final,Final 2,Mock Exams,23,23,What is the earliest sonographic evidence of pregnancy?,A,unknown,3,1,4,Preconceptional counselling and antenatal care,26,2,9,Role of Ultrasound in obstetric,high,Antenatal care calls the gestational sac the earliest ultrasound sign; the ultrasound lecture’s 4–5–6 sequence makes it the alternate.
mock-final,Final 2,Mock Exams,24,24,What is the fertilizable lifespan of the human oocyte?,B,unknown,1,1,2,"Fetus, placenta, membranes and amniotic fluid",,,,,high,The fetus/placenta lecture's gametogenesis section explicitly gives the oocyte's fertilizable lifespan as 12–14 hours.
mock-final,Final 2,Mock Exams,25,25,What is the most appropriate method of fetal surveillance in post-term pregnancy?,A,unknown,41,3,4,Postmaturity and induction of labor,,,,,high,The postmaturity lecture specifies twice-weekly CTG/NST plus ultrasound AFI during expectant post-term surveillance.
mock-final,Final 2,Mock Exams,26,26,What is the most common presenting symptom of ovarian torsion?,A,unknown,39,3,11,Emergency gynecology (case-based),28,2,11,Benign diseases of the ovary,high,The emergency-gynecology lecture describes ovarian torsion as unilateral colicky acute pain with vomiting and a tender adnexal mass.
mock-final,Final 2,Mock Exams,27,27,What is the most commonly performed surgical procedure for stress urinary incontinence in women?,C,unknown,33,2,16,Urinary incontinence,,,,,high,The urinary-incontinence lecture lists mid-urethral sling TVT/TOT as definitive surgery for stress incontinence.
mock-final,Final 2,Mock Exams,28,28,What is the primary reason for administering magnesium sulphate in women at risk of imminent early preterm birth?,D,unknown,17,3,9,Preterm labour and PROM,,,,,high,The preterm-labour lecture states magnesium sulfate before imminent early preterm birth is for fetal neuroprotection and reduces cerebral palsy.
mock-final,Final 2,Mock Exams,29,29,"What is the recommended minimum duration of facility-based care for a woman after a normal vaginal delivery, according to WHO guidelines?",B,unknown,43,3,12,Postnatal care and puerperal sepsis,,,,,high,The postnatal-care lecture quotes WHO's minimum facility stay after uncomplicated vaginal birth as at least 24 hours.
mock-final,Final 2,Mock Exams,30,30,What is the risk of uterine rupture in women with one previous lower segment cesarean section attempting TOLAC?,C,unknown,42,3,5,Cesarean section,,,,,high,The cesarean lecture covers TOLAC/VBAC and quotes roughly 1–1.5% rupture risk after a lower-segment scar.
mock-final,Final 2,Mock Exams,31,31,What is the treatment of choice for a female child diagnosed with central precocious puberty?,C,unknown,37,3,2,Gynecological problems in childhood & adolescence,4,1,3,Sexual development & Puberty,high,The childhood/adolescent gynecology lecture explicitly identifies GnRH analogues as treatment of choice for central precocious puberty.
mock-final,Final 2,Mock Exams,32,32,Which fetal presentation cannot be delivered by forceps?,D,unknown,35,2,17,Operative vaginal delivery (case-based),30,2,13,Fetal malposition & malpresentations,high,The operative-vaginal-delivery lecture lists brow as an undeliverable malpresentation and a forceps contraindication.
mock-final,Final 2,Mock Exams,33,33,Which form of labour analgesia is contraindicated in severe preeclampsia with thrombocytopenia?,C,unknown,40,3,3,Anesthesia and analgesia in labour,14,1,14,Medical Diseases & Pregnancy 1,high,The labor-analgesia lecture lists coagulopathy/low platelets as a contraindication to neuraxial epidural/spinal techniques.
mock-final,Final 2,Mock Exams,34,34,Which medication is considered first-line treatment for mild nausea and vomiting in pregnancy?,C,unknown,11,1,11,Hyperemesis gravidarum,,,,,high,The hyperemesis lecture puts antihistamines such as doxylamine-pyridoxine first-line and ondansetron/corticosteroids later.
mock-final,Final 2,Mock Exams,35,35,Which of the following hormonal changes occur in a normal menstrual cycle?,B,unknown,2,1,1,The menstrual cycle & reproductive endocrinology,,,,,high,"The menstrual-cycle lecture shows luteolysis causes falling estrogen and progesterone at the luteal-phase end, triggering menstruation."
mock-final,Final 2,Mock Exams,36,36,Which of the following increases suspicion for malignant change in a fibroid (leiomyosarcoma)?,C,unknown,21,2,4,Benign lesions of uterus & Cervix,,,,,high,The benign uterine/cervical lesions lecture flags rapid postmenopausal fibroid growth as suspicious for leiomyosarcoma.
mock-final,Final 2,Mock Exams,37,37,Which of the following infections is associated with fetal anaemia?,B,unknown,18,2,1,Infections & vaccinations in pregnancy,,,,,high,"The pregnancy-infections lecture links parvovirus B19 to fetal aplastic anemia, hydrops, raised MCA PSV, and possible intrauterine transfusion."
mock-final,Final 2,Mock Exams,38,38,Which of the following is a characteristic of complete molar pregnancy?,B,unknown,8,1,8,Bleeding in early pregnancy,,,,,high,The early-pregnancy bleeding lecture defines complete mole as diploid and entirely paternal after fertilization of an empty ovum.
mock-final,Final 2,Mock Exams,39,39,Which of the following is a major disadvantage of robotic-assisted laparoscopic surgery in gynaecology?,D,unknown,47,3,14,Minimally invasive surgery in gynecology,,,,,high,The minimally invasive surgery lecture names high acquisition and maintenance costs as a major robotic-surgery disadvantage.
mock-final,Final 2,Mock Exams,40,40,Which of the following is the earliest sign of obstructed labour?,C,unknown,38,3,10,Abnormal labour and its management (case-based),50,3,17,PPH & other Obstetric emergencies (case-based),high,The abnormal-labour lecture identifies severe caput and moulding as key early examination evidence of CPD/obstruction.
mock-final,Final 2,Mock Exams,41,41,Which of the following is the most accepted theory for the pathogenesis of endometriosis?,C,inferred,29,2,12,Endometriosis and adenomyosis,,,,,high,The endometriosis lecture lists retrograde menstruation/implantation as the classic etiologic theory.
mock-final,Final 2,Mock Exams,42,42,Which of the following is the most common cause of ambiguous genitalia in a genetic female (46 XX)?,D,unknown,37,3,2,Gynecological problems in childhood & adolescence,4,1,3,Sexual development & Puberty,high,"The childhood/adolescent gynecology lecture explicitly identifies CAH, usually 21-hydroxylase deficiency, as the commonest 46XX DSD."
mock-final,Final 2,Mock Exams,43,43,Which of the following is the most common route of spread in epithelial ovarian cancer?,B,unknown,48,3,15,Malignant ovarian tumors,,,,,high,"The malignant-ovarian-tumor lecture centers epithelial cancer staging and peritoneal/omental deposits, matching transcoelomic spread."
mock-final,Final 2,Mock Exams,44,44,Which of the following is the most serious complication of a corpus luteal cyst of the ovary?,D,unknown,28,2,11,Benign diseases of the ovary,39,3,11,Emergency gynecology (case-based),high,"The benign-ovary lecture states corpus luteum cysts can bleed and rupture, causing hemoperitoneum and an acute abdomen."
mock-final,Final 2,Mock Exams,45,45,Which of the following is the preferred method for delivering the after-coming head in a breech presentation?,A,unknown,30,2,13,Fetal malposition & malpresentations,,,,,high,"The malpresentation lecture names Mauriceau-Smellie-Veit, using jaw flexion and shoulder traction, for the after-coming breech head."
mock-final,Final 2,Mock Exams,46,46,Which symptom is most concerning in a preeclamptic patient?,D,unknown,13,1,13,Hypertension in pregnancy,,,,,high,The hypertension lecture lists severe headache/visual symptoms among cerebral severe features of preeclampsia.
mock-final,Final 2,Mock Exams,47,47,WHO classification of ovulation disorders describes 3 classes. Which of the following is characteristically associated with low FSH and low oestrogen (WHO Class I)?,A,unknown,6,1,6,Amenorrhea–dysmenorrhea–PMS,7,1,7,Polycystic ovary syndrome,medium,Amenorrhea covers hypothalamic low-FSH/LH stress amenorrhea; PCOS is the better alternate because it contrasts this pattern with PCOS.
mock-final,Final 2,Mock Exams,48,48,You diagnosed a 30 year old morbidly obese infertile woman with PCOS. HSG and semen analysis are normal. Her periods are unpredictable recurring every 3-4 months. Which of the following is the initial option in helping her to conceive?,A,unknown,7,1,7,Polycystic ovary syndrome,36,3,1,Subfertility,high,The PCOS lecture makes lifestyle and 5–10% weight loss the first step for all patients before fertility drugs or surgery.
