deck_id,deck_title,category,question_id,question_number,question,correct_answer,answer_source,primary_lecture_id,primary_test,primary_official_number,primary_title,alternate_lecture_id,alternate_test,alternate_official_number,alternate_title,confidence,rationale
womens-health,Final 1,Mock Exams,42,42,A 30 year old G3P2 woman presents at 32 weeks with painless bright red vaginal bleeding. The patient is vitally stable and bleeding is moderate in amount. Ultrasound confirms placenta previa. What is the best next step in management?,D,inferred,9,1,9,Antepartum hemorrhage,,,,,high,Its placenta-previa algorithm recommends admission and expectant monitoring for stable preterm bleeding.
womens-health,Final 1,Mock Exams,43,43,"A 30 year old primigravida at 39 weeks gestation presents in labour. On vaginal examination, the cervix is 7 cm dilated, 80% effaced and the fetal head is at -2 station. What does this most likely indicate?",B,inferred,22,2,5,Anatomy of the pelvis & mechanism of normal labor,24,2,7,Management of normal labour,medium,The mechanism lecture defines first-stage latent and active phases by cervical dilation.
womens-health,Final 1,Mock Exams,44,44,"During normal vaginal delivery, after the head of the fetus is delivered, it rotates to realign with the shoulders inside the birth canal. What is this movement named?",D,inferred,22,2,5,Anatomy of the pelvis & mechanism of normal labor,,,,,high,Its cardinal-movements sequence explicitly describes restitution after head delivery.
womens-health,Final 1,Mock Exams,45,45,"According to NICE guidelines on intrapartum care, which of the following is considered appropriate care for a woman in spontaneous labour?",B,inferred,24,2,7,Management of normal labour,,,,,high,The NICE-based lecture permits fluids and light food while rejecting routine shaving and enemas.
womens-health,Final 1,Mock Exams,46,46,Which of the following interventions is most effective in reducing perineal trauma during vaginal delivery?,A,inferred,24,2,7,Management of normal labour,,,,,medium,"The normal-labour lecture covers second-stage perineal care and episiotomy, but not warm compresses or controlled head delivery; it is a topical rather than exact match."
womens-health,Final 1,Mock Exams,47,47,"A 47 year old multiparous woman presents with complaints of severe dysmenorrhea and heavy menstrual bleeding. On bimanual examination, her uterus is found to be uniformly enlarged and tender. Transvaginal ultrasound reveals a heterogeneous globular uterus with small myometrial cysts and the results of endometrial biopsy are normal. What is the most likely diagnosis?",C,inferred,29,2,12,Endometriosis and adenomyosis,,,,,high,"Its adenomyosis section describes a tender enlarged uterus, dysmenorrhea, HMB, and myometrial disease."
womens-health,Final 1,Mock Exams,48,48,Which of the following is the most accepted theory for the pathogenesis of endometriosis?,A,inferred,29,2,12,Endometriosis and adenomyosis,,,,,high,Its etiology map identifies retrograde menstruation and implantation as the classic theory.
womens-health,Final 1,Mock Exams,49,49,Which of the following is the preferred treatment for a woman with minimal to mild endometriosis who is trying to conceive?,A,inferred,29,2,12,Endometriosis and adenomyosis,36,3,1,Subfertility,high,It covers laparoscopic fertility-sparing excision or ablation for endometriosis when conception is desired.
womens-health,Final 1,Mock Exams,50,50,"A 23 year old woman, G1P0, presents at 8 weeks gestation with brownish discharge and mild pelvic discomfort. Transvaginal ultrasound shows a snowstorm pattern in the uterus consistent with complete mole and bilaterally enlarged multicystic ovaries containing clear fluid. What is the most likely type of the patient's ovarian cysts?",D,inferred,28,2,11,Benign diseases of the ovary,,,,,high,It explicitly links bilateral theca-lutein cysts to hCG hyperstimulation from molar pregnancy.
womens-health,Final 1,Mock Exams,51,51,What is the most serious complication that could occur on top of a corpus luteal cyst of the ovary?,C,inferred,28,2,11,Benign diseases of the ovary,,,,,high,It identifies corpus-luteum cyst rupture causing hemoperitoneum and acute abdomen.
womens-health,Final 1,Mock Exams,52,52,A 41 year old woman presents to the gynaecology clinic with abdominal enlargement. She has a 7 cm solid ovarian tumour detected by ultrasound. Investigations performed showed right pleural effusion and a moderate amount of ascites. Which of the following is the most likely diagnosis?,B,inferred,28,2,11,Benign diseases of the ovary,,,,,high,It defines Meigs syndrome as ovarian fibroma with ascites and right hydrothorax.
womens-health,Final 1,Mock Exams,53,53,Which of the following risks is associated with laparoscopic sterilization?,C,inferred,44,3,6,Contraception,,,,,high,Its female-sterilization section states failure carries ectopic-pregnancy risk.
womens-health,Final 1,Mock Exams,54,54,Which of the following methods can be used as emergency contraception?,D,inferred,44,3,6,Contraception,,,,,high,Its emergency-contraception section identifies copper IUD as the most effective method.
womens-health,Final 1,Mock Exams,55,55,Which of the following is an absolute contraindication to combined oral contraceptive use?,B,inferred,44,3,6,Contraception,,,,,high,Its combined-hormonal table marks migraine with aura as contraindicated.
womens-health,Final 1,Mock Exams,56,56,"A 23-year-old female presents with oligomenorrhea and abnormal facial hair growth along with high serum free testosterone level. On ultrasound, the ovaries appear normal. What is the most likely diagnosis?",B,inferred,7,1,7,Polycystic ovary syndrome,,,,,high,Rotterdam diagnosis needs two criteria; normal ovarian ultrasound does not exclude PCOS.
womens-health,Final 1,Mock Exams,57,57,What is the primary reason for irregular menstruation in women with polycystic ovarian syndrome (PCOS)?,A,inferred,7,1,7,Polycystic ovary syndrome,,,,,high,"Its pathophysiology centers on follicular arrest, oligo-anovulation, and resulting irregular cycles."
womens-health,Final 1,Mock Exams,58,58,Which of the following is NOT a feature of polycystic ovarian syndrome (PCOS)?,D,inferred,7,1,7,Polycystic ovary syndrome,,,,,high,"Its hormone profile shows raised LH:FSH and AMH, reduced SHBG, and low progesterone."
womens-health,Final 1,Mock Exams,59,59,What is the recommended first-line pharmacological treatment for premenstrual dysphoric disorder (PMDD)?,C,inferred,6,1,6,Amenorrhea–dysmenorrhea–PMS,27,2,10,Psychosocial problems & women’s health,high,Its PMDD management ladder places low-dose SSRIs among first-line pharmacologic options.
womens-health,Final 1,Mock Exams,60,60,What distinguishes secondary vaginismus from primary vaginismus?,C,inferred,27,2,10,Psychosocial problems & women’s health,,,,,high,It explicitly defines secondary vaginismus as developing after normal sexual function.
